GC_RPG,CULTURE,Surface_ha,cell,rupromax,rupromin,rupro,hcc,pro
1,Ble,0.498950919923684,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.361032186321355,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.795979151082039,8427,216.6,76.6,112.4,33.91,60
1,Ble,5.03573160523018,8426,76.6,76.6,76.6,34.24,40
1,Ble,0.976983625446633,8514,81.85,76.6,77.39,34.23,40
1,Ble,4.16032976705583,8516,76.6,76.6,76.6,34.24,40
1,Ble,1.30151071905121,8426,76.6,76.6,76.6,34.24,40
1,Ble,0.985610248604017,8430,216.6,186.94,183.8,36.39,84
1,Ble,0.766750323720463,8520,186.94,186.94,187.71,37.16,82
1,Ble,2.50761265480312,8520,186.94,186.94,187.71,37.16,82
1,Ble,2.09614355054675,8427,216.6,76.6,112.4,33.91,60
1,Ble,2.97995044165736,8516,76.6,76.6,76.6,34.24,40
1,Ble,5.41169884766613,8518,216.6,76.6,146.35,34.25,76
1,Ble,5.41169884766613,8518,216.6,76.6,146.35,34.25,76
1,Ble,0.447757006787136,8606,86.22,76.6,81.37,34.14,43
1,Ble,2.20519580582694,8430,216.6,186.94,183.8,36.39,84
1,Ble,2.50876961185734,8430,216.6,186.94,183.8,36.39,84
1,Ble,2.41322531392537,8518,216.6,76.6,146.35,34.25,76
1,Ble,2.76948346311881,8512,81.85,76.6,79.8,34.2,42
1,Ble,0.487434640655667,8518,216.6,76.6,146.35,34.25,76
1,Ble,1.12641724760951,8516,76.6,76.6,76.6,34.24,40
1,Ble,2.39512147234301,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.218821850481909,8512,81.85,76.6,79.8,34.2,42
1,Ble,1.09055007361477,8603,86.22,76.6,81.35,34.14,43
1,Ble,0.340892526038969,8426,76.6,76.6,76.6,34.24,40
1,Ble,3.50409301310304,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.514056809923798,8516,76.6,76.6,76.6,34.24,40
1,Ble,0.596142646536929,8518,216.6,76.6,146.35,34.25,76
1,Ble,1.06082227036199,8517,76.6,76.6,76.6,34.24,40
1,Ble,2.13185814522087,8516,76.6,76.6,76.6,34.24,40
1,Ble,1.37233885011297,8512,81.85,76.6,79.8,34.2,42
1,Ble,0.709847043265402,8430,216.6,186.94,183.8,36.39,84
1,Ble,1.56072711192751,8427,216.6,76.6,112.4,33.91,60
1,Ble,2.46250726614362,8516,76.6,76.6,76.6,34.24,40
1,Ble,0.886899236436281,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.636508519554511,8518,216.6,76.6,146.35,34.25,76
1,Ble,3.29705302956579,8427,216.6,76.6,112.4,33.91,60
1,Ble,3.01164051086525,8426,76.6,76.6,76.6,34.24,40
1,Ble,3.01164051086525,8427,216.6,76.6,112.4,33.91,60
1,Ble,1.57990782433022,8518,216.6,76.6,146.35,34.25,76
1,Ble,1.81424252284954,8426,76.6,76.6,76.6,34.24,40
1,Ble,8.38828001782718,8518,216.6,76.6,146.35,34.25,76
1,Ble,1.12618046602178,8427,216.6,76.6,112.4,33.91,60
1,Ble,1.70966596995759,8517,76.6,76.6,76.6,34.24,40
1,Ble,0.563328255396383,8426,76.6,76.6,76.6,34.24,40
1,Ble,2.71264582724608,8426,76.6,76.6,76.6,34.24,40
1,Ble,2.71264582724608,8427,216.6,76.6,112.4,33.91,60
1,Ble,10.502002986095,8516,76.6,76.6,76.6,34.24,40
1,Ble,2.35833046037145,8518,216.6,76.6,146.35,34.25,76
1,Ble,13.3048593416406,8429,216.6,111.16,140.45,34.06,74
1,Ble,1.07309676031487,8515,76.6,76.6,76.96,34.24,40
1,Ble,2.87195773191154,8426,76.6,76.6,76.6,34.24,40
1,Ble,0.800701706671662,8513,81.85,76.6,80.48,34.2,42
1,Ble,1.3640579054916,8427,216.6,76.6,112.4,33.91,60
1,Ble,5.41238970324285,8518,216.6,76.6,146.35,34.25,76
1,Ble,5.41238970324285,8518,216.6,76.6,146.35,34.25,76
1,Ble,2.93466153519492,8516,76.6,76.6,76.6,34.24,40
1,Ble,0.85754692488024,8519,216.6,186.94,187.76,36.3,87
1,Ble,0.868066484271269,8427,216.6,76.6,112.4,33.91,60
1,Ble,1.17149772043126,8426,76.6,76.6,76.6,34.24,40
1,Ble,3.51117826227741,8516,76.6,76.6,76.6,34.24,40
1,Ble,2.60923947544657,8516,76.6,76.6,76.6,34.24,40
1,Ble,0.713800795299924,8426,76.6,76.6,76.6,34.24,40
1,Ble,1.22388700196424,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.84114233089881,8520,186.94,186.94,187.71,37.16,82
1,Ble,5.1723533456543,8519,216.6,186.94,187.76,36.3,87
1,Ble,0.616120163311064,8520,186.94,186.94,187.71,37.16,82
1,Ble,0.731796173207724,8516,76.6,76.6,76.6,34.24,40
1,Ble,3.3670011571578,8606,86.22,76.6,81.37,34.14,43
1,Ble,3.40831677576693,8515,76.6,76.6,76.96,34.24,40
1,Ble,2.70314042793039,8426,76.6,76.6,76.6,34.24,40
1,Ble,1.641513812372,8426,76.6,76.6,76.6,34.24,40
1,Ble,0.602285370981658,8427,216.6,76.6,112.4,33.91,60
1,Ble,0.274010601301352,8427,216.6,76.6,112.4,33.91,60
1,Ble,1.39254370977981,8516,76.6,76.6,76.6,34.24,40
1,Ble,1.24229984368831,8426,76.6,76.6,76.6,34.24,40
1,Ble,2.54549204284961,8426,76.6,76.6,76.6,34.24,40
1,Ble,2.54549204284961,8517,76.6,76.6,76.6,34.24,40
1,Ble,5.48833669247683,8426,76.6,76.6,76.6,34.24,40
1,Ble,2.4302386486908,8427,216.6,76.6,112.4,33.91,60
1,Ble,4.35017616213909,8515,76.6,76.6,76.96,34.24,40
1,Ble,4.35017616213909,8516,76.6,76.6,76.6,34.24,40
1,Ble,0.0502262530455831,8519,216.6,186.94,187.76,36.3,87
1,Ble,3.95892424660288,8427,216.6,76.6,112.4,33.91,60
1,Ble,1.33250329894945,8430,216.6,186.94,183.8,36.39,84
1,Ble,0.904817918674426,8515,76.6,76.6,76.96,34.24,40
1,Ble,2.89477583248033,8515,76.6,76.6,76.96,34.24,40
